PMID,Title,Year,Sentence,Autophagy_terms,Treg_terms,Relations
36170234,FOXP3+ macrophage represses acute ischemic stroke-induced neural inflammation.,2023,"foxp3 expression is controlled by macroautophagic/autophagic protein degradation in resting macrophages, while initiation of lc3-associated phagocytosis (lap) competitively occupies the autophagic machineries, and thus permits foxp3 activation.","['autophagic', 'lc3']",['foxp3'],"[('activation', 'activates'), ('control', 'regulates'), ('controlled', 'regulates')]"
31286804,"New insights into the interplay between autophagy, gut microbiota and inflammatory responses in IBD.",2020,"a better understanding of the role of autophagy in ibd pathogenesis may provide better sub-classification of ibd phenotypes and novel approaches for disease management.<b>abbreviations:</b> aiec: adherent-invasive <i>escherichia coli</i>; ampk: amp-activated protein kinase; atf6: activating transcription factor 6; atg: autophagy related; <i>atg16l1[δiec]</i> mice: mice with <i>atg16l1</i> depletion specifically in intestinal epithelial cells; <i>atg16l1[hm]</i> mice: mice hypomorphic for <i>atg16l1</i> expression; bcl2: b cell leukemia/lymphoma 2; becn1: beclin 1, autophagy related; calcoco2: calcium binding and coiled-coil domain 2; casp: caspase; cd: crohn disease; cgas: cyclic gmp-amp synthase; chuk/ikka: conserved helix-loop-helix ubiquitous kinase; cldn2: claudin 2; dapk1: death associated protein kinase 1; dcs: dendritic cells; dss: dextran sulfate sodium; eif2a: eukaryotic translation initiation factor 2a; eif2ak: eukaryotic translation initiation factor 2 alpha kinase; er: endoplasmic reticulum; erbin: erbb2 interacting protein; ern1/ire1a: er to nucleus signaling 1; fnbp1l: formin binding protein 1-like; foxp3: forkhead box p3; gpr65: g-protein coupled receptor 65; gsk3b: glycogen synthase kinase 3 beta; ibd: inflammatory bowel disease; iecs: intestinal epithelial cells; ifn: interferon; il: interleukin; il10r: interleukin 10 receptor; irgm: immunity related gtpase m; isc: intestinal stem cell; lamp1: lysosomal-associated membrane protein 1; lap: lc3-associated phagocytosis; map1lc3b: microtubule-associated protein 1 light chain 3 beta; lps: lipopolysaccharide; lrrk2: leucine-rich repeat kinase 2; mapk: mitogen-activated protein kinase; mhc: major histocompatibility complex; mif: macrophage migration inhibitory factor; mir/mirna: microrna; mtmr3: myotubularin related protein 3; mtor: mechanistic target of rapamycin kinase; myd88: myeloid differentiation primary response gene 88; nlrp3: nlr family, pyrin domain containing 3; nod2: nucleotide-binding oligomerization domain containing 2; npc: niemann-pick disease type c; npc1: npc intracellular cholesterol transporter 1; omvs: outer membrane vesicles; optn: optineurin; pi3k: phosphoinositide 3-kinase; prr: pattern-recognition receptor; ptpn2: protein tyrosine phosphatase, non-receptor type 2; ptpn22: protein tyrosine phosphatase, non-receptor type 22 (lymphoid); pycard/asc: pyd and card domain containing; rab2a: rab2a, member ras oncogene family; rela: v-rel reticuloendotheliosis viral oncogene homolog a (avian); ripk2: receptor (tnfrsf)-interacting serine-threonine kinase 2; ros: reactive oxygen species; snps: single nucleotide polymorphisms; sqstm1: sequestosome 1; tax1bp1: tax1 binding protein 1; th: t helper 1; tirap/trif: toll-interleukin 1 receptor (tir) domain-containing adaptor protein; tlr: toll-like receptor; tmem173/sting: transmembrane protein 173; tmem59: transmembrane protein 59; tnf/tnfa: tumor necrosis factor; treg: regulatory t; trem1: triggering receptor expressed on myeloid cells 1; uc: ulcerative colitis; ulk1: unc-51 like autophagy activating kinase 1; wt: wild-type; xbp1: x-box binding protein 1; xiap: x-linked inhibitor of apoptosis.","['atg16l1', 'beclin', 'ampk', 'autophagy', 'rapamycin', 'atg', 'lc3', 'mtor', 'ulk1']","['helios', 'foxp3', 'treg']","[('activate', 'activates'), ('activating', 'activates'), ('activated', 'activates'), ('inhibit', 'inhibits')]"
33849389,Augmenting ATG14 alleviates atherosclerosis and inhibits inflammation via promotion of autophagosome-lysosome fusion in macrophages.,2021,"augmenting atg14 expression reversed the autophagy dysfunction in macrophages of <i>apoe<sup>-/-</sup></i> mice plaque, blunted sqstm1/p62 accumulation, inhibited inflammation, and upregulated the population of treg cells, resulting in alleviating atherosclerotic lesions.<b>abbreviations:</b> abcc1: atp-binding cassette, sub-family c (cftr/mrp), member 1; abca1: atp-binding cassette, sub-family a (abc1), member 1; ad-<i>atg14</i>: adenovirus vector carrying the mouse <i>atg14</i> gene; ad-<i>lacz</i>: adenovirus vector carrying the gene for bacterial β-galactosidase; <i>apoe<sup>-/-</sup></i>: apolipoprotein e knockout; atg14: autophagy-related 14; cd68: cd68 antigen; dapi: 4',6-diamidino-2-phenylindole; dil-ox-ldl: dil-oxidized low density lipoprotein; elisa: enzyme-linked immunosorbent assay; hfd: high-fat diet (an atherogenic diet); il: interleukin; lamp2: lysosomal-associated membrane protein 2; ldl-c: low density lipoprotrein cholesterol; map1lc3/lc3: microtubule-associated protein 1 light chain 3; nd: normal diet; ox-ldl: oxidized low density lipoprotein; pbmc: peripheral blood mononuclear cells; sqstm1/p62: sequestosome 1; srebf1/srebp1c: sterol regulatory element binding transcription factor 1; srebf2/srebp2: sterol regulatory element binding factor 2; stx17: syntaxin 17; tc: serum total cholesterol; tg: triglyceride; tnf: tumor necrosis factor; ifn: interferon; treg cell: regulatory t cell.","['sqstm1/p62', 'autophagy', 'atg', 'lc3']","['regulatory t cell', 'treg']","[('inhibit', 'inhibits'), ('inhibited', 'inhibits'), ('regulate', 'regulates'), ('regulated', 'regulates')]"
38862534,Immunological synapse formation between T regulatory cells and cancer-associated fibroblasts promotes tumour development.,2024,"overall, our findings reveal an immunosuppressive mechanism entailing the formation of synapses between α-sma<sup>+</sup> cafs and tregs in an autophagy-dependent manner.",['autophagy'],"['suppressive', 'tregs', 'treg']","[('suppress', 'inhibits')]"
30852245,Autophagy in regulatory T cells: A double-edged sword in disease settings.,2019,there is compelling evidence that autophagy is actively regulated in tregs and serves as a central signal-dependent controller for tregs by restraining excessive apoptotic and metabolic activities.,['autophagy'],"['tregs', 'treg']","[('regulate', 'regulates'), ('regulated', 'regulates'), ('control', 'regulates')]"
30852245,Autophagy in regulatory T cells: A double-edged sword in disease settings.,2019,"in this review, we discuss how autophagy modulates the stability and functionality of tregs in different disease settings, and provide a perspective on how manipulation of autophagy enables better control of immune response by targeting the generation of tregs and the maintenance of their stability.",['autophagy'],"['tregs', 'treg']","[('control', 'regulates')]"
29867990,Cell-Intrinsic Roles for Autophagy in Modulating CD4 T Cell Functions.,2018,"while autophagy is required for the maintenance of immunosuppressive functions of regulatory t cells, it restrains the differentiation of t<sub>h</sub>9 effector cells, thus limiting their antitumor and pro-inflammatory properties.",['autophagy'],"['regulatory t cell', 'suppressive', 'regulatory t cells']","[('suppress', 'inhibits')]"
35895684,Transcription factor EB coordinates environmental cues to regulate T regulatory cells' mitochondrial fitness and function.,2022,tfeb intrinsically regulates genes involved in treg cell differentiation and mitochondria function while it suppresses expression of proinflammatory cytokines independently of its established roles in autophagy.,['autophagy'],['treg'],"[('suppresses', 'inhibits'), ('suppress', 'inhibits'), ('regulates', 'regulates'), ('regulate', 'regulates')]"
38570836,Gut microbiota-derived butyrate restores impaired regulatory T cells in patients with AChR myasthenia gravis via mTOR-mediated autophagy.,2024,"here, we demonstrate that butyric acid-producing gut bacteria and serum butyric acid level are reduced in patients with achr mg. butyrate supplementation effectively enhanced treg differentiation and their suppressive function of achr mg. mechanistically, butyrate activates autophagy of treg cells by inhibiting the mammalian target of rapamycin.","['autophagy', 'rapamycin']","['suppressive', 'treg']","[('activates', 'activates'), ('activate', 'activates'), ('inhibit', 'inhibits'), ('inhibiting', 'inhibits'), ('suppress', 'inhibits')]"
38570836,Gut microbiota-derived butyrate restores impaired regulatory T cells in patients with AChR myasthenia gravis via mTOR-mediated autophagy.,2024,"activation of autophagy increased oxidative phosphorylation and surface expression of cytotoxic t-lymphocyte-associated protein 4 on treg cells, thereby promoting treg differentiation and their suppressive function in achr mg. this observed effect of butyrate was blocked using chloroquine, an autophagy inhibitor, suggesting the vital role of butyrate-activated autophagy in tregs of patients with achr mg. we propose that gut bacteria derived butyrate has potential therapeutic efficacy against achr mg by restoring impaired tregs.",['autophagy'],"['suppressive', 'tregs', 'treg']","[('activate', 'activates'), ('activated', 'activates'), ('activation', 'activates'), ('inhibit', 'inhibits'), ('suppress', 'inhibits')]"
